,Séquentiel,SID,Heure de soumission,Heure de complétion,Heure de modification,Brouillon,Adresse IP,UID,Nom d'utilisateur,"Quelle est votre structure d'appartenance (DREAL, DDT, DRAAF...) ?",Dans quel service travaillez-vous ?,Pour la réalisation de mes missions j'ai besoin d'accèder aux données et/ou de les visualiser,Souhaiteriez-vous suivre une formation sur un outil d'accès ou de visualisation de données ?,je fais une demande au service compétent,"je sais où trouver la donnée (données internes, extérieures, open data…)","je connais les formats de données, je sais choisir l’outil pour ouvrir la donnée","Outil web intéractif, type tableau de bord","Plateforme web d’accès aux données (géo-ide, DataGrandEst, Observatoires….)","Calc, Excel",QGis,Infocentre (Business object),Access,Metabase,pgAdmin,Beyond,Souhaiteriez-vous suivre une formation sur un des outils ci-dessus ?,"Si oui, lequel/lesquels et pour quelles utilisations ?","Utilisez-vous un outil qui n'est pas dans liste ci-dessus pour accéder aux données ou les visualiser ? Si oui, lequel/lesquels ?",Pour la réalisation de mes missions j'ai besoin de réaliser des traitements sur les données,Souhaiteriez-vous suivre une formation sur un outil de traitement de données ?,je sais produire de la donnée,je sais mettre en qualité les données récupérées,"je sais croiser des données (avec des référentiels, données métier …)",Je sais réaliser des analyses,"Calc, Excel.1",QGis.1,Map info,ArcGIS,Infocentre (Business object).1,SAS,Access.1,R,Python,Souhaiteriez-vous suivre une formation sur un des outils ci-dessus ?.1,"Si oui, lequel/lesquels et pour quelles utilisations ?.1","Utilisez-vous un outil qui n'est pas dans liste ci-dessus pour faire du traitement de données ? Si oui, lequel/lesquels ?",Pour la réalisation de mes missions je fais de la gestion et de l'administration de données,Souhaiteriez-vous suivre une formation sur un outil de gestion et d'administration de données ?,je sais structurer les données pour les intégrer à une base de données,je sais créer une base de données,"je sais gérer une base de données (arborescente, relationnelle…)","Je sais administrer un serveur de base de données (gestion des droits utilisateurs, capacité….)","Calc, Excel.2",QGis.2,Asgard (module QGis),Access.2,"pgAdmin, pSQL (postgre/postgis)",MySQL,Souhaiteriez-vous suivre une formation sur un des outils ci-dessus ?.2,"Si oui, lequel/lesquels et pour quelles utilisations ?.2","Utilisez-vous un outil qui n'est pas dans liste ci-dessus pour gérer et administrer les données ? Si oui, lequel/lesquels ?",Pour la réalisation de mes missions j'administre des outils de visualisation de données,Souhaiteriez-vous suivre une formation sur un outil de visualisation de données ?,"Calc, Excel.3",Infocentre (Business object).2,Access.3,DataGrandEst,Géo-IDE carto,Apache Superset,Metabase et outils similaires,Souhaiteriez-vous suivre une formation sur un des outils ci-dessus ?.3,"Si oui, lequel/lesquels et pour quelles utilisations ?.3","Utilisez-vous un outil qui n'est pas dans liste ci-dessus pour visualiser les données ? Si oui, lequel/lesquels ?",Pour la réalisation de mes missions je fais de l'automatisation (par exemple pour le traitement de données,Souhaiteriez-vous suivre une formation sur un langage d'automatisation de traitements ?,je sais utiliser des scripts existants,"je sais adapter des scripts existants (nouvelles données, nouveau traitement)",je sais créer des scripts,"Calc, Excel (macros)","Python (PyCharm, Jupyter, Spyder, Anaconda, VS CODE, Qgis, …)",R (RStudio...),"pgAdmin, pSQL (postgre/postgis).1",GitLab,Souhaiteriez-vous suivre une formation sur un des outils ci-dessus ?.4,"Si oui, lequel/lesquels et pour quelles utilisations ?.4","Utilisez-vous un outil qui n'est pas dans liste ci-dessus pour automatiser les traitements de données ? Si oui, lequel/lesquels ?","Pour la réalisation de mes missions, je développe des applications (web, locale, ...) et des scripts, y compris en mode gestion de projet",Souhaiteriez-vous suivre une formation sur un outil ou langage de développement d'applications ?,je sais développer des applications ou des scripts,je sais gérer un projet de développement,"Python (PyCharm, Jupyter, Spyder, Anaconda, VS CODE, Qgis, …).1","RShiny (RStudio, Golem, …)",Javascript,Access.4,QGis (developpement de plugin),Taïga : outil agile,GitLab.1,RedMine (ticketing),Resana,Souhaiteriez-vous suivre une formation sur un des outils ci-dessus ?.5,"Si oui, lequel/lesquels et pour quelles utilisations ?.5","Utilisez-vous un outil qui n'est pas dans liste ci-dessus pour gérer et admnistrer les données ? Si oui, lequel/lesquels ?",Inscrivez-vous pour être tenu au courant de l'avancée du projet
82,90,14392974,14/12/2022 - 11:19,14/12/2022 - 11:19,14/12/2022 - 11:19,0,0.0.0.0,0,Anonymous,DDT55,SE,Oui,,X,,,débutant,jamais utilisé,avancé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Non,,,Non,Non,,,,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,Non,Non,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,1
83,91,14394365,14/12/2022 - 12:35,14/12/2022 - 12:35,14/12/2022 - 12:35,0,0.0.0.0,0,Anonymous,DDT55,SUH,Oui,,,X,,avancé,avancé,avancé,débutant,jamais utilisé,débutant,jamais utilisé,jamais utilisé,jamais utilisé,Oui,"Qgis,access",urbansimul,Oui,,X,X,,,avancé,débutant,débutant,jamais utilisé,jamais utilisé,jamais utilisé,débutant,jamais utilisé,débutant,Non,,,Oui,,X,X,X,,avancé,débutant,jamais utilisé,débutant,jamais utilisé,jamais utilisé,Non,,,Non,Oui,,,,,,,,,,,Non,Oui,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,1
84,92,14396025,14/12/2022 - 14:40,14/12/2022 - 14:40,14/12/2022 - 14:40,0,0.0.0.0,0,Anonymous,DREAL,ST,Non,Non,,,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,Non,Non,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,
85,93,14396810,14/12/2022 - 15:22,14/12/2022 - 15:22,14/12/2022 - 15:22,0,0.0.0.0,0,Anonymous,DDT55,SCDT,Oui,,X,,,jamais utilisé,jamais utilisé,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Non,,,Oui,,,,,,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Non,,,Non,Non,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,Non,Non,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,1
86,94,14397117,14/12/2022 - 15:41,14/12/2022 - 15:41,14/12/2022 - 15:41,0,0.0.0.0,0,Anonymous,DDT,SCDT,Oui,,,X,,avancé,avancé,avancé,jamais utilisé,jamais utilisé,avancé,jamais utilisé,jamais utilisé,jamais utilisé,Non,,,Oui,,X,X,X,X,avancé,jamais utilisé,débutant,jamais utilisé,jamais utilisé,jamais utilisé,débutant,jamais utilisé,débutant,Non,,,Non,Non,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,Non,Non,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,
87,95,14397371,14/12/2022 - 15:55,14/12/2022 - 15:55,14/12/2022 - 15:55,0,0.0.0.0,0,Anonymous,DREAL,STECCLA,Oui,,X,X,,débutant,débutant,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Non,,,Non,Non,,,,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,Non,Non,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,
88,96,14397910,14/12/2022 - 16:24,14/12/2022 - 16:24,14/12/2022 - 16:24,0,0.0.0.0,0,Anonymous,DDT55,SH,Oui,,X,X,,jamais utilisé,débutant,avancé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Non,,,Oui,,,X,,,avancé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Oui,Infocentre;pour pouvoir utiliser les données,,Non,Oui,,,,,,,,,,,,,,Oui,,avancé,jamais utilisé,jamais utilisé,débutant,débutant,jamais utilisé,jamais utilisé,Oui,infocentre,,Non,Oui,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,1
89,97,14398627,14/12/2022 - 17:03,14/12/2022 - 17:03,14/12/2022 - 17:03,0,0.0.0.0,0,Anonymous,DDT,SUA,Oui,,X,X,,débutant,jamais utilisé,avancé,débutant,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Non,,,Oui,,,X,,,avancé,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Non,,,Non,Non,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,Non,Non,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,
90,98,14404844,15/12/2022 - 10:21,15/12/2022 - 10:21,15/12/2022 - 10:21,0,0.0.0.0,0,Anonymous,DDT55,SE,Oui,,X,,,jamais utilisé,jamais utilisé,avancé,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Non,,,Oui,,X,X,X,X,débutant,débutant,avancé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Non,,,Non,Non,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,Non,Non,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,1
91,99,14406061,15/12/2022 - 11:20,15/12/2022 - 11:20,15/12/2022 - 11:20,0,0.0.0.0,0,Anonymous,DDT10,SEB,Oui,,,X,X,jamais utilisé,avancé,avancé,avancé,débutant,débutant,débutant,débutant,jamais utilisé,Non,,,Oui,,X,X,X,X,avancé,avancé,avancé,jamais utilisé,débutant,jamais utilisé,débutant,jamais utilisé,jamais utilisé,Oui,Python,,Non,Oui,,,,,,,,,,,,,,Non,Oui,,,,,,,,,,,Non,Oui,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,1
92,100,14406918,15/12/2022 - 12:01,15/12/2022 - 12:01,15/12/2022 - 12:01,0,0.0.0.0,0,Anonymous,DDT55,SUH,Oui,,,X,X,avancé,avancé,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Non,,,Oui,,,,,,débutant,jamais utilisé,avancé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Non,,,Non,Non,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,Non,Non,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,1
93,101,14407621,15/12/2022 - 12:49,15/12/2022 - 12:49,15/12/2022 - 12:49,0,0.0.0.0,0,Anonymous,DDT57,SAME,Oui,,,X,X,avancé,débutant,expert,avancé,avancé,expert,jamais utilisé,débutant,avancé,Oui,Metabase,,Oui,,X,X,X,X,expert,avancé,jamais utilisé,jamais utilisé,avancé,jamais utilisé,expert,débutant,débutant,Oui,SAS,,Oui,,X,X,X,X,expert,avancé,débutant,expert,débutant,avancé,Non,,,Oui,,expert,avancé,expert,débutant,débutant,jamais utilisé,jamais utilisé,Oui,"Superset,Metabase",,Oui,,X,X,X,avancé,débutant,débutant,débutant,jamais utilisé,Oui,"Python,Gitlab",,Non,Oui,,,,,,,,,,,,,,,1
94,102,14409942,15/12/2022 - 15:09,15/12/2022 - 15:09,15/12/2022 - 15:09,0,0.0.0.0,0,Anonymous,DDT55,SCDT,Oui,,,X,X,jamais utilisé,débutant,avancé,avancé,jamais utilisé,jamais utilisé,jamais utilisé,débutant,jamais utilisé,Non,,,Oui,,X,X,X,,avancé,avancé,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Non,,postgis,Non,Non,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,Non,Non,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,1
95,103,14410068,15/12/2022 - 15:16,15/12/2022 - 15:16,15/12/2022 - 15:16,0,0.0.0.0,0,Anonymous,DREAL,SPRNH,Oui,,,X,,débutant,débutant,débutant,débutant,jamais utilisé,jamais utilisé,jamais utilisé,débutant,jamais utilisé,Oui,pgadmin,ftp,Oui,,,,,,débutant,débutant,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,débutant,débutant,Non,,,Oui,,,,,,débutant,débutant,jamais utilisé,jamais utilisé,débutant,jamais utilisé,Non,,,Oui,,débutant,jamais utilisé,jamais utilisé,débutant,débutant,jamais utilisé,jamais utilisé,Non,,,Oui,,X,X,X,débutant,débutant,débutant,débutant,débutant,Non,,,Oui,,X,,débutant,débutant,jamais utilisé,jamais utilisé,débutant,jamais utilisé,débutant,jamais utilisé,débutant,Non,,,1
96,104,14410523,15/12/2022 - 15:34,15/12/2022 - 15:34,15/12/2022 - 15:34,0,0.0.0.0,0,Anonymous,DREAL,SEBP,Oui,,X,X,,débutant,avancé,avancé,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Non,,,Oui,,X,,,,avancé,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Non,,,Non,Non,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,Non,Non,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,
97,105,14411543,15/12/2022 - 16:19,15/12/2022 - 16:19,15/12/2022 - 16:19,0,0.0.0.0,0,Anonymous,DDT68,MIT,Oui,,,X,X,avancé,avancé,expert,expert,débutant,débutant,jamais utilisé,avancé,jamais utilisé,Oui,"Beyond,Infocentre",,Oui,,X,X,X,X,avancé,avancé,avancé,jamais utilisé,débutant,jamais utilisé,débutant,jamais utilisé,jamais utilisé,Oui,"R,Python",,Oui,,X,X,X,X,avancé,avancé,débutant,débutant,avancé,jamais utilisé,Oui,"pgAdmin,pSQL",,Oui,,avancé,débutant,débutant,débutant,avancé,jamais utilisé,jamais utilisé,Non,,outils interne,Non,Oui,,,,,,,,,,,,Oui,,,X,jamais utilisé,jamais utilisé,débutant,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,débutant,Oui,Python,"GeoIde,PGAdmin",1
98,106,14411782,15/12/2022 - 16:29,15/12/2022 - 16:29,15/12/2022 - 16:29,0,0.0.0.0,0,Anonymous,DDT,Unité Eau,Oui,,,X,X,jamais utilisé,débutant,débutant,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Non,,,Non,Non,,,,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,Non,Non,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,
99,107,14425365,16/12/2022 - 15:06,16/12/2022 - 15:06,16/12/2022 - 15:06,0,0.0.0.0,0,Anonymous,DDT55,DDT,Oui,,X,,,avancé,débutant,avancé,jamais utilisé,jamais utilisé,débutant,jamais utilisé,jamais utilisé,jamais utilisé,Non,,,Oui,,X,,,,avancé,jamais utilisé,débutant,jamais utilisé,jamais utilisé,jamais utilisé,débutant,jamais utilisé,jamais utilisé,Oui,Mapinfo,,Non,Oui,,,,,,,,,,,,,,Non,Oui,,,,,,,,,,,Non,Oui,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,1
100,108,14425439,16/12/2022 - 15:09,16/12/2022 - 15:09,16/12/2022 - 15:09,0,0.0.0.0,0,Anonymous,DDT67,AT,Oui,,X,X,X,avancé,débutant,expert,débutant,débutant,débutant,jamais utilisé,débutant,jamais utilisé,Non,,,Oui,,X,X,X,X,expert,débutant,débutant,jamais utilisé,débutant,jamais utilisé,débutant,débutant,jamais utilisé,Oui,R,,Non,Non,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,Oui,,X,,,débutant,jamais utilisé,débutant,débutant,jamais utilisé,Oui,"R,CALC",,Non,Non,,,,,,,,,,,,,,,
101,109,14438337,19/12/2022 - 09:37,19/12/2022 - 09:37,19/12/2022 - 09:37,0,0.0.0.0,0,Anonymous,DDT88,SCTS,Oui,,,X,,jamais utilisé,débutant,avancé,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Non,,GEOPORTAIL,Non,Non,,,,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,Non,Non,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,
102,110,14438451,19/12/2022 - 09:45,19/12/2022 - 09:45,19/12/2022 - 09:45,0,0.0.0.0,0,Anonymous,DDT54,SH,Non,Oui,,,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,Non,Non,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,1
103,111,14439057,19/12/2022 - 10:29,19/12/2022 - 10:29,19/12/2022 - 10:29,0,0.0.0.0,0,Anonymous,DREAL,SEBP,Oui,,X,X,,avancé,avancé,avancé,débutant,jamais utilisé,débutant,jamais utilisé,jamais utilisé,jamais utilisé,Oui,;connaitre les possibilités offertes par les outils jamais utilisé,,Oui,,,,X,,avancé,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,débutant,jamais utilisé,jamais utilisé,Non,,,Non,Non,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,Non,Non,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,1
104,112,14440530,19/12/2022 - 12:10,19/12/2022 - 12:10,19/12/2022 - 12:10,0,0.0.0.0,0,Anonymous,DREAL,SCDD,Oui,,,X,X,avancé,expert,expert,expert,jamais utilisé,avancé,jamais utilisé,avancé,jamais utilisé,Oui,Metabase,,Oui,,X,X,X,X,avancé,expert,expert,jamais utilisé,jamais utilisé,jamais utilisé,avancé,jamais utilisé,avancé,Oui,Python,,Oui,,X,X,X,X,avancé,expert,jamais utilisé,avancé,avancé,avancé,Non,,,Oui,,avancé,jamais utilisé,avancé,avancé,avancé,débutant,débutant,Oui,"Superset,Metabase",nocodb,Oui,,X,X,X,avancé,avancé,jamais utilisé,avancé,débutant,Oui,"Python,Gitlab",,Oui,,X,X,avancé,jamais utilisé,débutant,avancé,jamais utilisé,avancé,débutant,débutant,avancé,Oui,"Javascript,Python;environnement de développement",,1
105,113,14443040,19/12/2022 - 15:50,19/12/2022 - 15:50,19/12/2022 - 15:50,0,0.0.0.0,0,Anonymous,DREAL,SEBP,Oui,,,X,X,débutant,débutant,avancé,expert,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Non,,R,Oui,,X,,X,X,avancé,expert,jamais utilisé,débutant,jamais utilisé,jamais utilisé,jamais utilisé,expert,débutant,Non,,,Oui,,X,,,,débutant,avancé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Non,,,Non,Non,,,,,,,,,,,Oui,,X,X,X,débutant,avancé,expert,jamais utilisé,jamais utilisé,Non,,,Non,Oui,,,,,,,,,,,,,,,1
106,114,14443532,19/12/2022 - 16:25,19/12/2022 - 16:25,19/12/2022 - 16:25,0,0.0.0.0,0,Anonymous,DREAL,SCDD,Oui,,,X,X,avancé,avancé,avancé,jamais utilisé,débutant,débutant,jamais utilisé,jamais utilisé,avancé,Non,,,Oui,,,,X,X,avancé,jamais utilisé,jamais utilisé,jamais utilisé,débutant,débutant,débutant,débutant,jamais utilisé,Non,,,Non,Non,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,Non,Non,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,1
107,115,14447041,20/12/2022 - 09:02,20/12/2022 - 09:02,20/12/2022 - 09:02,0,0.0.0.0,0,Anonymous,DREAL,SEBP,Oui,,,X,X,avancé,avancé,avancé,avancé,jamais utilisé,débutant,jamais utilisé,jamais utilisé,jamais utilisé,Non,,,Oui,,,X,X,X,avancé,avancé,avancé,jamais utilisé,jamais utilisé,jamais utilisé,débutant,débutant,débutant,Non,,,Non,Non,,,,,,,,,,,,,,Oui,,avancé,jamais utilisé,débutant,avancé,débutant,jamais utilisé,jamais utilisé,Non,,,Non,Non,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,1
108,116,14448377,20/12/2022 - 10:52,20/12/2022 - 10:52,20/12/2022 - 10:52,0,0.0.0.0,0,Anonymous,DREAL,SEE,Oui,,,X,,jamais utilisé,avancé,débutant,débutant,jamais utilisé,débutant,jamais utilisé,jamais utilisé,jamais utilisé,Oui,QGIS,,Oui,,,,,,débutant,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,débutant,jamais utilisé,jamais utilisé,Oui,qgis,,Non,Oui,,,,,,,,,,,,,,Non,Oui,,,,,,,,,,,Non,Non,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,1
109,117,14453147,20/12/2022 - 17:34,20/12/2022 - 17:34,20/12/2022 - 17:34,0,0.0.0.0,0,Anonymous,DREAL,PHL,Oui,,X,X,,avancé,débutant,avancé,débutant,débutant,débutant,jamais utilisé,jamais utilisé,jamais utilisé,Non,,insee,Oui,,,X,X,X,avancé,débutant,débutant,jamais utilisé,débutant,jamais utilisé,débutant,jamais utilisé,jamais utilisé,Non,,,Non,Non,,,,,,,,,,,,,,Oui,,avancé,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Non,,,Non,Non,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,1
110,118,14459863,21/12/2022 - 14:53,21/12/2022 - 14:53,21/12/2022 - 14:53,0,0.0.0.0,0,Anonymous,DDT55,SCDT,Oui,,X,,,débutant,jamais utilisé,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Non,,,Non,Non,,,,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,Non,Non,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,1
111,119,14460390,21/12/2022 - 15:35,21/12/2022 - 15:35,21/12/2022 - 15:35,0,0.0.0.0,0,Anonymous,DREAL,SPRNH,Oui,,X,,,avancé,débutant,avancé,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Non,,,Oui,,X,X,X,,avancé,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Non,,,Oui,,X,,,,débutant,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Oui,Qgis,,Oui,,avancé,jamais utilisé,jamais utilisé,débutant,débutant,jamais utilisé,jamais utilisé,Oui,data grand est,,Non,Oui,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,1
112,120,14464759,22/12/2022 - 09:35,22/12/2022 - 09:35,22/12/2022 - 09:35,0,0.0.0.0,0,Anonymous,DDT08,SIG,Oui,,X,X,X,débutant,avancé,avancé,avancé,jamais utilisé,débutant,jamais utilisé,débutant,jamais utilisé,Non,,,Oui,,X,X,X,X,avancé,avancé,débutant,jamais utilisé,jamais utilisé,jamais utilisé,débutant,jamais utilisé,jamais utilisé,Oui,Python;découverte,,Oui,,X,,,,avancé,avancé,jamais utilisé,débutant,jamais utilisé,débutant,Non,,,Oui,,avancé,jamais utilisé,débutant,débutant,avancé,jamais utilisé,jamais utilisé,Non,,,Non,Oui,,,,,,,,,,,,Non,Oui,,,,,,,,,,,,,,,1
113,121,14467958,22/12/2022 - 15:01,22/12/2022 - 15:01,22/12/2022 - 15:01,0,0.0.0.0,0,Anonymous,DDT57,DDT,Oui,,X,,,avancé,jamais utilisé,avancé,jamais utilisé,jamais utilisé,débutant,jamais utilisé,jamais utilisé,jamais utilisé,Oui,QGIS,,Oui,,,,,,avancé,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,débutant,jamais utilisé,jamais utilisé,Oui,"QGIS,EXCEL",,Oui,,X,X,,,avancé,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Oui,"CALC,QGIS",,Non,Oui,,,,,,,,,,,Non,Non,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,1
114,122,14503319,02/01/2023 - 12:02,02/01/2023 - 12:02,02/01/2023 - 12:02,0,0.0.0.0,0,Anonymous,DREAL,SEBP,Oui,,,X,X,avancé,avancé,avancé,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Oui,QGIS,osmose,Oui,,X,X,X,X,avancé,débutant,jamais utilisé,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,débutant,Oui,QGIS,,Oui,,X,,,,avancé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Non,,,Oui,,avancé,jamais utilisé,jamais utilisé,débutant,débutant,jamais utilisé,jamais utilisé,Non,,,Oui,,,,,débutant,débutant,jamais utilisé,jamais utilisé,jamais utilisé,Non,,,Oui,,,,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,avancé,Non,,,1
